ID_Cliente,Idade,Cidade,Estado,Renda_Mensal,Qtd_Compras,Valor_Total_Compras
C0001,32,Blumenau,SC,2863.37,46,18856.46
C0002,36,Garanhuns,PE,5136.09,45,35994.28
C0003,18,Curitiba,PR,1320.0,29,10510.14
C0004,25,Nova Iguaçu,RJ,2082.19,5,1454.06
C0005,27,Porto Alegre,RS,4222.08,20,2048.29
C0006,56,Juiz de Fora,MG,6795.38,39,22327.35
C0007,46,Juiz de Fora,MG,4653.97,28,8191.22
C0008,66,Porto Alegre,RS,7151.18,14,6583.7
C0009,29,Campinas,SP,2491.04,27,10865.68
C0010,36,Niterói,RJ,3879.14,46,13787.63
C0011,34,Campinas,SP,4414.69,43,24682.35
C0012,59,Campinas,SP,3198.01,10,8268.56
C0013,68,Campinas,SP,4356.83,37,26745.9
C0014,62,Contagem,MG,7572.3,26,19685.9
C0015,56,Belo Horizonte,MG,6785.71,21,8556.03
C0016,55,Ribeirão Preto,SP,5635.43,2,1709.57
C0017,66,Rio de Janeiro,RJ,5306.61,42,14607.75
C0018,58,Maracanaú,CE,3549.8,32,24559.14
C0019,60,Duque de Caxias,RJ,5943.23,27,14092.58
C0020,20,Garanhuns,PE,2782.66,30,3136.55
C0021,50,Santo André,SP,5272.65,35,11402.38
C0022,66,Montes Claros,MG,5175.84,32,18337.17
C0023,26,Ribeirão Preto,SP,4407.14,45,15102.11
C0024,63,Caxias do Sul,RS,4533.0,11,2507.98
C0025,71,Niterói,RJ,6665.24,8,3692.99
C0026,50,Anápolis,GO,4371.9,46,13304.11
C0027,47,Caucaia,CE,3840.33,39,19367.55
C0028,67,Blumenau,SC,4772.89,27,9179.92
C0029,36,Rio de Janeiro,RJ,3731.35,38,30242.87
C0030,48,Ribeirão Preto,SP,2412.91,23,7608.5
C0031,30,Duque de Caxias,RJ,4540.03,25,6249.74
C0032,63,Santo André,SP,5106.47,25,9044.8
C0033,49,Feira de Santana,BA,6000.34,38,9545.61
C0034,51,Florianópolis,SC,5069.16,30,1582.66
C0035,22,Joinville,SC,1320.0,22,10916.97
C0036,72,Guarulhos,SP,5994.0,44,29091.61
C0037,52,Nova Iguaçu,RJ,5790.44,41,21131.07
C0038,45,São Paulo,SP,5366.31,7,4696.05
C0039,62,Campinas,SP,5128.81,21,12466.07
C0040,33,Niterói,RJ,4146.15,34,13095.04
C0041,23,Campinas,SP,1462.06,44,11823.04
C0042,58,Santo André,SP,4304.72,17,7157.29
C0043,36,Rio Verde,GO,3773.56,29,26301.94
C0044,62,Nova Iguaçu,RJ,4449.79,17,6146.35
C0045,24,Maracanaú,CE,2876.91,37,10862.39
C0046,35,Santo André,SP,5987.67,1,509.71
C0047,56,Curitiba,PR,5153.95,19,10708.41
C0048,58,Feira de Santana,BA,2404.13,13,7180.36
C0049,58,Londrina,PR,6967.15,3,825.09
C0050,23,Caxias do Sul,RS,3808.42,19,5416.28
C0051,41,Ribeirão Preto,SP,1503.49,11,3016.77
C0052,65,Contagem,MG,4600.69,22,14187.81
C0053,61,Campinas,SP,4563.51,36,13033.52
C0054,25,Ribeirão Preto,SP,1320.0,30,10768.62
C0055,70,Nova Iguaçu,RJ,4308.44,44,8032.16
C0056,38,Itajaí,SC,3294.61,40,7131.32
C0057,59,Vitória da Conquista,BA,4549.77,3,832.36
C0058,26,Ribeirão Preto,SP,3408.47,25,10421.11
C0059,44,Cascavel,PR,3059.0,27,16562.56
C0060,20,Pelotas,RS,1320.0,45,14421.22
C0061,24,Petrolina,PE,4145.03,42,12852.33
C0062,72,São Paulo,SP,5068.41,30,3152.39
C0063,21,Porto Alegre,RS,2616.81,9,5082.65
C0064,31,Ilhéus,BA,2469.04,38,9245.72
C0065,68,Niterói,RJ,5331.67,10,8033.64
C0066,60,Salvador,BA,5173.86,2,280.82
C0067,38,Ilhéus,BA,5572.23,9,5513.53
C0068,46,Ponta Grossa,PR,5356.62,50,16678.79
C0069,57,Uberlândia,MG,7766.22,43,18648.48
C0070,48,Recife,PE,5945.88,26,8104.97
C0071,22,Ponta Grossa,PR,3546.48,10,903.29
C0072,63,Santa Maria,RS,4457.63,21,7323.86
C0073,56,Petrópolis,RJ,2829.34,8,5849.78
C0074,45,Feira de Santana,BA,6370.69,29,20050.08
C0075,44,Camaçari,BA,4954.1,21,10945.95
C0076,22,Santo André,SP,1320.0,6,3385.15
C0077,69,Guarulhos,SP,5600.88,36,18119.19
C0078,64,Nova Iguaçu,RJ,5624.86,4,3229.91
C0079,50,Petrópolis,RJ,5748.87,15,9665.4
C0080,66,Belo Horizonte,MG,7373.71,18,9713.38
C0081,57,Itajaí,SC,4371.07,39,32964.03
C0082,35,Niterói,RJ,2335.25,45,32699.39
C0083,27,Niterói,RJ,1691.82,10,7200.42
C0084,31,Ribeirão Preto,SP,2945.55,25,8541.33
C0085,67,Duque de Caxias,RJ,7124.8,4,734.6
C0086,35,São Paulo,SP,3312.97,29,15756.28
C0087,31,Contagem,MG,3582.9,28,3994.49
C0088,60,Santa Maria,RS,4502.96,20,1610.82
C0089,31,Porto Alegre,RS,3231.93,9,5135.77
C0090,65,Santo André,SP,6219.87,28,4845.71
C0091,53,Cascavel,PR,6599.0,5,1907.38
C0092,22,Juiz de Fora,MG,1320.0,21,10415.28
C0093,36,Ponta Grossa,PR,4390.79,21,4429.68
C0094,23,Contagem,MG,2803.92,28,17169.6
C0095,23,Santa Maria,RS,1574.61,22,5286.93
C0096,51,São Paulo,SP,6027.49,33,7161.69
C0097,33,Niterói,RJ,4721.1,12,6648.35
C0098,67,Caxias do Sul,RS,5934.34,41,18999.17
C0099,61,Ponta Grossa,PR,6958.57,41,30095.64
C0100,27,Petrolina,PE,2192.81,29,2867.37
