Idade	Estado	Renda_Mensal	Qtd_Compras	Valor_Total_Compras
continuous	BA CE GO MG PE PR RJ RS SC SP XX	continuous	continuous	continuous
				
48	SC	2863.37	46	18856.5
48	PE	5136.09	45	35994.3
25	RJ	4480.3	5	1454.06
27	RS	4222.08	27	2048.29
56	MG	6795.38	39	22327.3
46	MG	4653.97	28	8191.22
66	RS	7151.18	14	6583.7
29	SP	2491.04	27	10865.7
36	RJ	3879.14	46	13787.6
34	SP	4414.69	43	24682.3
59	SP	4480.3	10	8268.56
68	SP	4356.83	27	26745.9
62	MG	7572.3	26	19685.9
56	MG	6785.71	21	8556.03
55	SP	5635.43	2	1709.57
66	RJ	5306.61	42	14607.8
58	CE	4480.3	32	24559.1
60	RJ	5943.23	27	14092.6
20	PE	2782.66	30	3136.55
50	SP	5272.65	35	11402.4
66	MG	5175.84	32	18337.2
48	SP	4407.14	45	15102.1
63	RS	4533	11	2507.98
71	RJ	6665.24	8	3692.99
48	GO	4371.9	46	13304.1
47	CE	3840.33	39	19367.5
67	SC	4772.89	27	9179.92
36	RJ	3731.35	38	30242.9
48	SP	2412.91	27	7608.5
30	RJ	4540.03	25	6249.74
63	SP	4480.3	25	9044.8
49	BA	6000.34	38	9545.61
51	SC	4480.3	30	1582.66
22	SC	4480.3	22	10917
72	SP	5994	44	29091.6
52	RJ	5790.44	41	21131.1
45	SP	5366.31	7	4696.05
62	SP	5128.81	21	12466.1
33	RJ	4146.15	34	13095
23	SP	1462.06	44	11823
58	SP	4304.72	17	7157.29
36	GO	3773.56	29	26301.9
62	RJ	4449.79	17	6146.35
24	CE	2876.91	37	10862.4
35	SP	5987.67	1	509.71
56	PR	5153.95	19	10708.4
58	BA	2404.13	13	7180.36
48	PR	6967.15	3	825.09
23	RS	3808.42	19	5416.28
41	SP	1503.49	11	3016.77
48	MG	4600.69	22	14187.8
61	SP	4563.51	36	13033.5
25	SP	1320	30	10768.6
70	RJ	4308.44	44	8032.16
38	SC	3294.61	40	7131.32
59	BA	4549.77	3	832.36
26	SP	3408.47	25	10421.1
20	RS	1320	45	14421.2
24	PE	4145.03	42	12852.3
72	SP	5068.41	30	3152.39
21	RS	2616.81	9	5082.65
31	BA	2469.04	27	9245.72
68	RJ	5331.67	10	8033.64
60	BA	5173.86	2	280.82
38	BA	5572.23	9	5513.53
46	PR	5356.62	50	16678.8
57	MG	7766.22	43	18648.5
48	PE	5945.88	26	8104.97
22	PR	3546.48	10	903.29
63	RS	4457.63	21	7323.86
56	RJ	2829.34	27	5849.78
45	BA	6370.69	29	20050.1
44	BA	4954.1	21	10946
22	SP	1320	6	3385.15
48	SP	5600.88	36	18119.2
66	MG	7373.71	18	9713.38
57	SC	4371.07	39	32964
35	RJ	2335.25	45	32699.4
27	RJ	1691.82	10	7200.42
31	SP	2945.55	25	8541.33
67	RJ	7124.8	4	734.6
35	SP	3312.97	29	15756.3
31	MG	3582.9	28	3994.49
60	RS	4502.96	20	1610.82
31	RS	3231.93	9	5135.77
65	SP	6219.87	28	4845.71
53	PR	6599	5	1907.38
22	MG	1320	21	10415.3
36	PR	4390.79	27	4429.68
23	MG	2803.92	28	17169.6
23	RS	1574.61	22	5286.93
51	SP	6027.49	33	7161.69
33	RJ	4721.1	12	6648.35
61	PR	6958.57	41	30095.6
