ID_Cliente,Idade,Cidade,Estado,Renda_Mensal,Qtd_Compras,Valor_Total_Compras
C0001,250.0,Blumenau,SC,2863.37,46.0,18856.46
C0002,-5.0,Garanhuns,PE,5136.09,45.0,35994.28
C0003,18.0,Curitiba,XX,1320.0,29.0,10510.14
C0004,25.0,Nova Iguaçu,RJ,-3000.0,5.0,1454.06
C0005,27.0,Porto Alegre,RS,4222.08,-10.0,2048.29
C0006,56.0,Juiz de Fora,MG,6795.38,39.0,22327.35
C0007,46.0,Juiz de Fora,MG,4653.97,28.0,8191.22
C0008,66.0,Porto Alegre,RS,7151.18,14.0,6583.7
C0009,29.0,Campinas,SP,2491.04,27.0,10865.68
C0010,36.0,Niterói,RJ,3879.14,46.0,13787.63
C0011,34.0,Campinas,SP,4414.69,43.0,24682.35
C0012,59.0,Campinas,SP,,10.0,8268.56
C0013,68.0,Campinas,SP,4356.83,,26745.9
C0014,62.0,Contagem,MG,7572.3,26.0,19685.9
C0015,56.0,Belo Horizonte,MG,6785.71,21.0,8556.03
C0016,55.0,Ribeirão Preto,SP,5635.43,2.0,1709.57
C0017,66.0,Rio de Janeiro,RJ,5306.61,42.0,14607.75
C0018,58.0,Maracanaú,CE,,32.0,24559.14
C0019,60.0,Duque de Caxias,RJ,5943.23,27.0,14092.58
C0020,20.0,Garanhuns,PE,2782.66,30.0,3136.55
C0021,50.0,Santo André,SP,5272.65,35.0,11402.38
C0022,66.0,Montes Claros,MG,5175.84,32.0,18337.17
C0023,,Ribeirão Preto,SP,4407.14,45.0,15102.11
C0024,63.0,Caxias do Sul,RS,4533.0,11.0,2507.98
C0025,71.0,Niterói,RJ,6665.24,8.0,3692.99
C0026,,Anápolis,GO,4371.9,46.0,13304.11
C0027,47.0,Caucaia,CE,3840.33,39.0,19367.55
C0028,67.0,Blumenau,SC,4772.89,27.0,9179.92
C0029,36.0,Rio de Janeiro,RJ,3731.35,38.0,30242.87
C0030,48.0,Ribeirão Preto,SP,2412.91,,7608.5
C0031,30.0,Duque de Caxias,RJ,4540.03,25.0,6249.74
C0032,63.0,Santo André,SP,,25.0,9044.8
C0033,49.0,Feira de Santana,BA,6000.34,38.0,9545.61
C0034,51.0,Florianópolis,SC,,30.0,1582.66
C0035,22.0,Joinville,SC,,22.0,10916.97
C0036,72.0,Guarulhos,SP,5994.0,44.0,29091.61
C0037,52.0,Nova Iguaçu,RJ,5790.44,41.0,21131.07
C0038,45.0,São Paulo,SP,5366.31,7.0,4696.05
C0039,62.0,Campinas,SP,5128.81,21.0,12466.07
C0040,33.0,Niterói,RJ,4146.15,34.0,13095.04
C0041,23.0,Campinas,SP,1462.06,44.0,11823.04
C0042,58.0,Santo André,SP,4304.72,17.0,7157.29
C0043,36.0,Rio Verde,GO,3773.56,29.0,26301.94
C0044,62.0,Nova Iguaçu,RJ,4449.79,17.0,6146.35
C0045,24.0,Maracanaú,CE,2876.91,37.0,10862.39
C0046,35.0,Santo André,SP,5987.67,1.0,509.71
C0047,56.0,Curitiba,PR,5153.95,19.0,10708.41
C0048,58.0,Feira de Santana,BA,2404.13,13.0,7180.36
C0049,,Londrina,PR,6967.15,3.0,825.09
C0050,23.0,Caxias do Sul,RS,3808.42,19.0,5416.28
C0051,41.0,Ribeirão Preto,SP,1503.49,11.0,3016.77
C0052,,Contagem,MG,4600.69,22.0,14187.81
C0053,61.0,Campinas,SP,4563.51,36.0,13033.52
