id_venda,id_cliente,id_produto,quantidade,data_venda,valor_total
1,14,1,-2,2024-08-12,7500.00
2,9,2,4,2024-06-30,7200.00
3,14,9,4,2024-06-15,759.60
4,3,1,2,2024-08-10,5000.00
5,5,1,1,2024-10-01,2500.00
6,24,1,3,2024-12-25,7500.00
7,12,1,5,2024-02-05,12500.00
8,14,9,2,2024-01-12,379.80
9,17,8,1,2024-01-20,79.90
10,12,7,NULL,2024-07-28,89.90
11,17,4,3,2024-03-17,899.70
12,5,10,5,2024-12-24,149.50
13,10,9,5,2024-12-10,949.50
14,17,5,5,2024-12-19,399.50
15,3,7,4,2024-10-09,359.60
16,1,6,1,2024-09-21,149.90
17,20,2,5,2024-01-21,9000.00
18,21,5,1,2024-04-29,79.90
19,30,3,1,2024-09-03,350.00
20,30,8,3,2024-01-15,239.70
21,3,7,1,2024-10-07,89.90
22,5,8,4,2024-01-18,319.60
23,11,7,1,2024-02-06,89.90
24,2,2,5,2024-11-06,9000.00
25,27,10,NULL,2024-02-23,149.50
26,16,5,3,2024-04-19,239.70
27,25,10,4,2024-01-15,119.60
28,28,3,2,2024-06-21,700.00
29,16,6,4,2024-01-16,599.60
30,25,3,3,2024-08-29,1050.00
31,19,9,3,2024-12-10,569.70
32,4,1,5,2024-11-09,12500.00
33,28,6,4,2024-06-02,599.60
34,9,10,3,2024-12-27,89.70
35,16,2,3,2024-04-28,5400.00
36,4,10,1,2024-03-09,29.90
37,11,1,4,2024-07-14,10000.00
38,17,9,2,2024-11-18,379.80
39,14,2,3,2024-02-16,5400.00
40,17,4,NULL,2024-01-29,299.90
41,21,6,1,2024-07-27,149.90
42,19,8,1,2024-06-17,79.90
43,7,4,2,2024-10-09,599.80
44,7,6,4,2024-10-07,599.60
45,17,6,5,2024-02-04,749.50
46,18,1,3,2024-07-20,7500.00
47,17,10,2,2024-01-04,59.80
48,23,5,3,2024-06-01,239.70
49,30,1,4,2024-05-21,10000.00
50,3,10,5,2024-11-17,149.50
51,21,3,3,2024-06-25,1050.00
52,10,6,2,2024-02-08,299.80
53,10,1,1,2024-08-17,2500.00
54,17,3,4,2024-06-06,1400.00
55,27,3,3,2024-08-16,1050.00
56,10,4,4,2024-11-17,1199.60
57,28,7,5,2024-05-14,449.50
58,9,8,4,2024-01-20,319.60
59,9,7,1,2024-09-19,89.90
60,30,5,NULL,2024-02-19,239.70
61,23,10,3,2024-09-27,89.70
62,7,6,2,2024-12-07,299.80
63,22,5,3,2024-06-24,239.70
64,8,4,3,2024-06-28,899.70
65,17,2,5,2024-02-08,9000.00
66,25,4,4,2024-03-09,1199.60
67,9,8,5,2024-05-19,399.50
68,11,10,4,2024-08-24,119.60
69,12,7,4,2024-11-03,359.60
70,10,7,5,2024-06-10,449.50
71,3,9,2,2024-08-01,379.80
72,15,1,4,2024-05-28,10000.00
73,15,8,5,2024-10-22,399.50
74,2,10,2,2024-03-04,59.80
75,12,4,1,2024-11-11,299.90
76,21,2,2,2024-05-11,3600.00
77,23,4,3,2024-09-22,899.70
78,23,9,2,2024-10-22,379.80
79,20,9,3,2024-12-03,569.70
80,23,4,4,2024-06-26,1199.60
81,10,2,3,2024-10-27,5400.00
82,6,4,3,2024-06-16,899.70
83,19,6,2,2024-10-25,299.80
84,11,3,2,2024-11-16,700.00
85,14,9,NULL,2024-04-12,189.90
86,26,6,2,2024-11-23,299.80
87,26,7,3,2024-07-14,269.70
88,29,6,3,2024-04-06,449.70
89,29,7,3,2024-03-22,269.70
90,23,9,1,2024-07-08,189.90
91,11,10,3,2024-09-09,89.70
92,27,1,2,2024-05-28,5000.00
93,15,9,4,2024-12-20,759.60
94,18,4,1,2024-10-07,299.90
95,13,4,3,2024-11-18,899.70
96,29,5,2,2024-05-11,159.80
97,1,3,5,2024-10-17,1750.00
98,7,3,2,2024-05-21,700.00
99,21,3,1,2024-07-20,350.00
100,17,4,1,2024-12-20,299.90
101,5,1,1,2024-10-01,2500.00
102,3,7,4,2024-10-09,359.60
103,25,3,3,2024-08-29,1050.00
104,3,10,5,2024-11-17,149.50
105,12,4,1,2024-11-11,299.90
